ad_id,date,spend,revenue,impressions,clicks,purchases,headline,body,media_type,aspect_ratio,category,labels
ad_00061,2023-03,476.77,1143.27,9967,112,2,kit for every sprint,"Lightweight and breathable, this kit keeps you comfortable from the first pedal stroke to the last. Designed for riders who sprint in all conditions and demand the very best from their gear. 🏔️",video,1:1,adventure,vid_kit:Video
ad_00062,2023-03,65.17,260.9,8886,117,3,tights for every layer,Built to layer. Premium tights.,image,1:1,adventure,img_tights:Image|layer:Verb
ad_00063,2023-03,167.44,347.68,11940,75,1,premium vest built to cruise,"Lightweight and breathable, this vest keeps you comfortable from the first pedal stroke to the last. Designed for riders who cruise in all conditions and demand the very best from their gear.",image,9:16,accessories,img_vest:Image|cruise:Verb
ad_00064,2023-03,136.84,268.65,9488,54,1,cap for every pedal,Built to pedal. Premium cap.,image,9:16,commute,img_cap:Image
ad_00065,2023-03,176.23,917.03,12178,117,2,layer further 13 in our jacket,Built to layer. Premium jacket. 💪,image,1:1,gravel,img_jacket:Image|layer:Verb
ad_00066,2023-03,121.11,247.99,13198,91,1,sprint further in our baselayer,sprint further in our new baselayer.,image,9:16,commute,img_baselayer:Image|sprint:Verb|race day ready:Phrase
ad_00067,2023-03,75.18,218.39,20501,176,3,armwarmers for every gear,Ride ready. Try 29 our armwarmers today. 🌧️,video,1:1,gravel,vid_armwarmers:Video|gear:Verb
ad_00068,2023-03,120.49,528.39,19423,190,4,new kit collection,Our kit lets you gear better. ⛰️,image,1:1,road,img_kit:Image|kit:Noun|gear:Verb
ad_00069,2023-03,141.14,258.35,14827,114,2,layer further in our wardrobe,Our wardrobe lets you layer better.,video,1:1,adult,vid_wardrobe:Video|wardrobe:Noun
ad_00070,2023-03,123.15,345.57,34748,289,4,premium socks built to race,"Engineered for performance on every terrain. Our socks is designed to help you race with total confidence, whether you are on a mountain pass or a city commute through changing weather.",image,1:1,gravel,img_socks:Image|socks:Noun|race:Verb|cold weather essentials:Phrase
ad_00071,2023-03,110.82,545.01,27879,244,5,the 7 vest you need to layer,Built to layer. Premium vest.,image,1:1,urban,img_vest:Image|vest:Noun|layer:Verb|ride in comfort:Phrase
ad_00072,2023-03,148.76,285.37,9255,63,1,kit for every climb,"Built for the long haul. Our premium kit combines technical fabrics with a refined fit so you can climb harder and go further, no matter what the forecast brings this season.",video,4:5,accessories,vid_kit:Video|kit:Noun|climb:Verb
ad_00073,2023-03,217.62,683.39,17495,123,2,the baselayer you need to push,Ride ready. Try our baselayer today. ☀️,video,4:5,adult,vid_baselayer:Video|baselayer:Noun
ad_00074,2023-03,84.21,406.39,24128,192,4,new 12 shell collection,Ride ready. Try our shell today.,image,4:5,urban,img_shell:Image|conquer:Verb
ad_00075,2023-03,177.29,1053.55,22276,320,10,jersey for every push,"Built for the long haul. Our premium jersey combines technical fabrics with a refined fit so you can push harder and go further, no matter what the forecast brings this season.",image,4:5,adventure,img_jersey:Image|jersey:Noun
ad_00076,2023-03,312.6,1077.82,11889,134,4,socks 15 for every sprint,"Engineered for performance on every terrain. Our 10 socks is designed to help you sprint with total confidence, whether you are on a mountain pass or a city commute through changing weather.",video,9:16,adventure,vid_socks:Video|socks:Noun|sprint:Verb
ad_00077,2023-03,119.17,1361.07,11578,153,6,new wardrobe collection,Ride ready. Try 24 our wardrobe today.,image,4:5,adventure,img_wardrobe:Image|ride:Verb
ad_00078,2023-03,224.11,1809.88,16410,201,6,premium socks built to cruise,cruise further in our new socks. 🔥,image,4:5,road,img_socks:Image|socks:Noun|new arrivals:Phrase
ad_00079,2023-03,131.63,331.22,17861,139,2,shell for every ride,Built to ride. Premium shell.,video,4:5,adult,vid_shell:Video|shell:Noun
ad_00080,2023-03,172.15,278.85,34570,234,3,premium wardrobe built to shred,shred further in our new wardrobe.,video,1:1,accessories,vid_wardrobe:Video|wardrobe:Noun|shred:Verb
ad_00081,2023-03,166.76,476.92,25367,230,4,new jersey collection,conquer further in our new jersey.,video,4:5,sale,vid_jersey:Video|jersey:Noun
ad_00082,2023-03,104.16,1075.71,26613,387,15,the jacket you need to pedal,Ride ready. Try our jacket today. ⛰️,image,4:5,adventure,img_jacket:Image|jacket:Noun
ad_00083,2023-03,105.31,165.11,17095,120,1,armwarmers for every train,"Lightweight and breathable, this armwarmers keeps you comfortable from the first pedal stroke to the last. Designed for riders who train in all conditions and demand the very best from their gear.",image,9:16,casual,img_armwarmers:Image|armwarmers:Noun|train:Verb
ad_00084,2023-03,200.06,508.23,18687,270,7,new baselayer collection,descend further in our new baselayer.,video,9:16,adventure,vid_baselayer:Video|baselayer:Noun|descend:Verb|gear up for summer:Phrase
ad_00085,2023-03,455.22,5732.09,23936,270,9,premium 29 vest built to shred,Our vest lets 27 you shred better.,image,4:5,gravel,img_vest:Image|vest:Noun|cold weather essentials:Phrase
ad_00086,2023-03,296.33,1831.71,15640,112,2,push 16 further in our jersey,Ride ready. 5 Try our jersey today.,image,4:5,mountain,img_jersey:Image
ad_00087,2023-03,121.85,476.77,23618,203,5,bibs for every conquer,conquer further in our new bibs.,image,1:1,sale,img_bibs:Image|bibs:Noun|built to last:Phrase
ad_00088,2023-03,86.7,244.19,25579,142,2,socks for every cruise,Our socks lets you cruise better. ❄️,video,4:5,commute,vid_socks:Video|socks:Noun
ad_00089,2023-03,219.43,1115.85,28236,274,5,premium vest built to push,Our 22 vest lets you push better.,video,4:5,adult,vid_vest:Video|built to last:Phrase
ad_00090,2023-03,315.1,729.12,14213,93,1,gloves for every layer,Our gloves lets you layer better.,video,4:5,casual,vid_gloves:Video
ad_00091,2023-03,130.71,720.28,18079,180,4,train further 17 in our baselayer,Ride ready. Try 3 our baselayer today.,image,1:1,road,img_baselayer:Image|baselayer:Noun|train:Verb
ad_00092,2023-03,322.3,3508.53,5300,52,2,4 premium wardrobe built to descend,Our wardrobe lets you descend better. 🚴,image,4:5,sale,img_wardrobe:Image|wardrobe:Noun
ad_00093,2023-03,185.96,1560.41,16993,197,5,11 new socks collection,Built to layer. Premium socks. 🔥,image,4:5,sale,img_socks:Image|socks:Noun|layer:Verb
ad_00094,2023-03,207.97,1826.65,17473,178,4,premium jacket 23 built to cruise,Our 28 jacket lets you cruise better.,image,1:1,sale,img_jacket:Image|race day ready:Phrase
ad_00095,2023-03,495.56,2490.31,13782,123,2,24 premium jacket built to train,train further in our 27 new jacket.,video,4:5,casual,vid_jacket:Video|jacket:Noun
ad_00096,2023-03,186.94,1789.06,9910,129,4,premium gloves built to conquer,conquer further in our new gloves.,image,4:5,adventure,img_gloves:Image|gloves:Noun|conquer:Verb|all day comfort:Phrase
ad_00097,2023-03,76.58,145.55,15980,66,1,premium gloves built to layer,Ride ready. Try 28 our gloves today.,video,4:5,mountain,vid_gloves:Video|gloves:Noun|layer:Verb
ad_00098,2023-03,337.36,2102.37,7593,111,3,ride further in our armwarmers,"Built for the long haul. Our premium armwarmers combines technical fabrics with a refined fit so you can ride harder and go further, no matter what the 9 forecast brings this season.",image,9:16,adventure,img_armwarmers:Image|armwarmers:Noun|new arrivals:Phrase
ad_00099,2023-03,252.32,293.55,13960,85,1,the gloves you need to gear,"Built for the long haul. Our premium gloves combines technical fabrics with a refined fit so you can gear harder and go further, no matter what the forecast brings this season.",video,9:16,road,vid_gloves:Video|race day ready:Phrase
ad_00100,2023-03,275.94,1916.08,25704,357,13,22 new vest collection,"Built for the long haul. Our premium vest combines technical fabrics with a refined fit so you can shred harder and go further, no matter what the forecast brings this season.",image,4:5,adventure,img_vest:Image|vest:Noun
ad_00101,2023-03,228.06,922.17,6132,53,1,conquer further in our socks,conquer further in our new socks.,image,1:1,road,img_socks:Image|socks:Noun|gravel ready:Phrase
ad_00102,2023-03,177.13,719.46,13853,113,2,premium vest built to shred,Ride ready. Try our vest today. ❄️,image,1:1,sale,img_vest:Image|vest:Noun|shred:Verb
ad_00103,2023-03,70.44,627.8,24919,304,9,22 the jersey you need to ride,ride further in our 3 new jersey.,image,1:1,gravel,img_jersey:Image|ride in comfort:Phrase
ad_00104,2023-03,154.0,824.98,22961,229,4,kit for every pedal,Built to pedal. Premium kit.,image,4:5,casual,img_kit:Image
ad_00105,2023-03,173.9,603.0,9027,80,2,premium bibs built to pedal,Our bibs lets you pedal better.,video,4:5,accessories,vid_bibs:Video|ride in comfort:Phrase
ad_00106,2023-03,411.86,1362.04,15702,135,2,premium shell built to conquer,4 Built to conquer. Premium shell. 🚴,video,1:1,sale,vid_shell:Video|shell:Noun
ad_00107,2023-03,298.49,2573.88,8889,105,2,new wardrobe collection,Ride ready. Try our wardrobe today. 💪,image,4:5,accessories,img_wardrobe:Image|wardrobe:Noun|gravel ready:Phrase
ad_00108,2023-03,309.31,1839.47,19546,226,6,shorts for every pedal,pedal further in our new shorts.,image,4:5,accessories,img_shorts:Image|ride in comfort:Phrase
ad_00109,2023-03,219.25,353.81,14996,99,2,pedal further in our gloves,pedal further in our new gloves.,video,1:1,road,vid_gloves:Video|pedal:Verb
ad_00110,2023-03,462.96,1016.8,12940,72,1,layer further in our socks,3 Built to layer. Premium socks.,image,1:1,mountain,img_socks:Image|layer:Verb
ad_00111,2023-03,154.31,778.99,32240,288,4,shred further 11 in our kit,Our kit lets you shred better.,image,4:5,urban,img_kit:Image|shred:Verb
ad_00112,2023-03,476.77,2326.22,15063,124,2,the jersey you need to explore,Ride ready. Try our jersey today.,image,4:5,adult,img_jersey:Image|jersey:Noun
ad_00113,2023-03,291.64,1878.38,9191,137,4,socks for every conquer,conquer further in our new socks.,image,1:1,adventure,img_socks:Image|socks:Noun|conquer:Verb|race day ready:Phrase
ad_00114,2023-03,113.47,181.15,22288,149,2,sprint further in our socks,Built to sprint. Premium socks.,video,1:1,accessories,vid_socks:Video|socks:Noun|sprint:Verb
ad_00115,2023-03,84.42,655.81,21466,236,6,ride 11 further in our baselayer,Ride ready. Try our baselayer today.,image,4:5,gravel,img_baselayer:Image|ride:Verb|new arrivals:Phrase
ad_00116,2023-03,116.3,395.75,20078,182,3,sprint further in our cap,Ride ready. Try our cap today.,image,1:1,gravel,img_cap:Image|cap:Noun|sprint:Verb
ad_00117,2023-03,193.42,2754.25,15586,322,17,3 kit for every pedal,Built to pedal. Premium kit. ❄️,image,1:1,adventure,img_kit:Image|kit:Noun|your spring wardrobe:Phrase
ad_00118,2023-03,118.67,633.71,19390,265,7,new bibs collection,ride further in our new bibs.,video,4:5,adventure,vid_bibs:Video|bibs:Noun|gravel ready:Phrase
ad_00119,2023-03,146.81,1055.63,7372,76,2,the jacket you need to ride,Our 17 jacket lets you ride better.,image,4:5,accessories,img_jacket:Image|jacket:Noun
ad_00120,2023-03,239.98,1067.62,10259,73,1,premium tights 7 built to sprint,Our tights lets you sprint better.,image,4:5,mountain,img_tights:Image|tights:Noun
ad_00121,2023-03,108.98,611.7,8378,104,2,7 armwarmers for every race,"Built for the long haul. Our premium armwarmers combines technical fabrics with a refined fit so you can race harder and go further, no matter what the forecast brings this season. ❄️",image,4:5,accessories,img_armwarmers:Image|armwarmers:Noun
ad_00122,2023-03,334.12,409.02,11275,62,1,new wardrobe collection,"Engineered for performance on every terrain. Our wardrobe is designed to help you climb with total confidence, whether you are on a mountain pass or a city commute through changing weather. ☀️",video,9:16,casual,vid_wardrobe:Video|wardrobe:Noun|climb:Verb|adventure awaits:Phrase
ad_00123,2023-03,117.71,306.1,20215,166,3,the jacket you need to train,Ride ready. Try our jacket today.,image,9:16,casual,img_jacket:Image|jacket:Noun|train:Verb|race day ready:Phrase
ad_00124,2023-03,60.07,259.22,15719,161,3,vest 19 for every pedal,"Lightweight and breathable, this vest keeps you comfortable from the first pedal stroke to the last. Designed for riders who 5 pedal in all conditions and demand the very best from their gear.",image,1:1,accessories,img_vest:Image|vest:Noun|pedal:Verb
ad_00125,2023-03,90.1,162.06,12737,65,1,kit for every descend,Built to descend. Premium kit.,image,1:1,mountain,img_kit:Image|kit:Noun|descend:Verb
ad_00126,2023-03,311.41,2371.09,27661,280,7,race further in our wardrobe,7 Our wardrobe lets you race better. ⛰️,image,1:1,casual,img_wardrobe:Image|wardrobe:Noun|ride in comfort:Phrase
ad_00127,2023-03,322.55,1012.29,15699,94,1,shred further in our wardrobe,Our 17 wardrobe lets you shred better.,image,1:1,commute,img_wardrobe:Image|shred:Verb
ad_00128,2023-03,223.14,455.54,9211,65,1,new armwarmers collection,Our armwarmers lets you race better.,video,1:1,adult,vid_armwarmers:Video|armwarmers:Noun
ad_00129,2023-03,73.33,152.65,14727,84,1,the gloves you need to gear,gear further in our new gloves.,video,1:1,road,vid_gloves:Video|gear:Verb|race day ready:Phrase
ad_00130,2023-03,87.06,351.84,18052,148,3,armwarmers for every train,train further in our new armwarmers.,image,4:5,urban,img_armwarmers:Image|armwarmers:Noun
ad_00131,2023-03,186.94,495.27,17350,148,2,new vest collection,pedal further in our new vest. 💪,image,9:16,casual,img_vest:Image
ad_00132,2023-03,243.98,935.83,17742,138,2,baselayer for every shred,shred further in our new baselayer.,image,4:5,commute,img_baselayer:Image|baselayer:Noun
ad_00133,2023-03,59.81,99.2,19632,102,1,premium 25 socks built to shred,Ride ready. Try our socks today.,video,9:16,urban,vid_socks:Video|socks:Noun|shred:Verb
ad_00134,2023-03,65.87,116.97,17930,103,1,premium baselayer built to pedal,Our baselayer lets you pedal better.,image,9:16,mountain,img_baselayer:Image|pedal:Verb|built to last:Phrase
ad_00135,2023-03,85.41,269.79,13578,162,4,premium gloves built to train,Our gloves lets you train better. 🔥,video,1:1,accessories,vid_gloves:Video|gloves:Noun|your spring wardrobe:Phrase
ad_00136,2023-03,296.3,2296.59,15306,167,4,bibs for 26 every cruise,Ride 13 ready. Try our bibs today.,image,9:16,gravel,img_bibs:Image|bibs:Noun|new arrivals:Phrase
ad_00137,2023-03,221.01,345.18,11044,66,1,new baselayer collection,"Built for the long haul. Our premium baselayer combines technical fabrics with a refined fit so you can ride harder and go further, no matter what the forecast brings this season. ⛰️",image,9:16,commute,img_baselayer:Image|baselayer:Noun
ad_00138,2023-03,306.63,1187.62,34023,326,8,the shorts you need to explore,Our shorts lets you explore better.,image,1:1,road,img_shorts:Image|shorts:Noun|cold weather essentials:Phrase
ad_00139,2023-03,154.6,1133.2,17028,205,5,premium baselayer built to shred,Ride ready. Try 25 our baselayer today.,image,4:5,sale,img_baselayer:Image|baselayer:Noun
ad_00140,2023-03,212.42,1436.73,14771,156,4,new jersey collection,ride 27 further in our new jersey.,image,1:1,sale,img_jersey:Image|all day comfort:Phrase
ad_00141,2023-03,99.62,231.92,28952,153,2,premium cap built to explore,"Engineered for performance on every terrain. Our cap is designed to help you explore with total confidence, whether you are on a mountain pass or a city commute through changing weather.",image,4:5,mountain,img_cap:Image|cap:Noun|explore:Verb|adventure awaits:Phrase
ad_00142,2023-03,98.9,552.13,4572,50,1,5 climb further in our vest,Built to climb. Premium vest.,image,4:5,road,img_vest:Image|vest:Noun|climb:Verb
ad_00143,2023-03,120.78,210.74,31056,147,2,jacket for every ride,Ride ready. Try our jacket today.,video,4:5,mountain,vid_jacket:Video|jacket:Noun|ride:Verb|trail tested:Phrase
ad_00144,2023-03,139.78,287.1,14188,104,1,new tights collection,"Built for the long haul. Our premium tights combines technical fabrics with a refined fit so you can cruise harder and go further, 7 no matter what the forecast brings this season.",video,1:1,accessories,vid_tights:Video|tights:Noun|cruise:Verb|adventure awaits:Phrase
ad_00145,2023-03,630.49,2162.54,10971,94,2,19 new shell collection,Ride ready. Try our shell today. ❄️,video,1:1,sale,vid_shell:Video|layer:Verb
ad_00146,2023-03,242.35,1373.05,7646,55,1,premium 13 kit built to race,race further in our new kit.,image,4:5,urban,img_kit:Image|kit:Noun|race:Verb
ad_00147,2023-03,86.48,331.62,4071,32,1,the jersey 27 you need to descend,Built to descend. Premium jersey.,image,9:16,adult,img_jersey:Image|jersey:Noun|descend:Verb|adventure awaits:Phrase
ad_00148,2023-03,121.09,330.52,6277,59,1,premium tights built to descend,Built to descend. Premium tights.,image,9:16,sale,img_tights:Image|tights:Noun|descend:Verb|gravel ready:Phrase
ad_00149,2023-03,147.68,1543.89,46116,479,11,race further in 19 our vest,race further 18 in our new vest.,image,4:5,casual,img_vest:Image|vest:Noun
ad_00150,2023-03,327.26,967.39,11743,83,2,23 shorts for every shred,Our shorts lets you shred better.,video,1:1,adult,vid_shorts:Video|cold weather essentials:Phrase
ad_00151,2023-03,112.45,244.2,8872,69,1,the cap you need to shred,Ride ready. Try our cap today.,video,4:5,adult,vid_cap:Video|shred:Verb
ad_00152,2023-03,161.68,386.65,8663,63,1,premium jersey built to ride,Built to ride. Premium jersey.,image,9:16,urban,img_jersey:Image|jersey:Noun|ride:Verb|all day comfort:Phrase
ad_00153,2023-03,89.38,263.71,9370,52,1,shell 4 for every train,"Engineered for performance on every terrain. Our shell is designed to help you train with total confidence, whether you are on 6 a mountain pass or a city commute through changing weather.",image,9:16,commute,img_shell:Image|shell:Noun|train:Verb
